Altitude (z),Temperature (K),Pressure,Density
2.341e+06,1.16181e+06,1582.98,8.25322e-08
2.342e+06,1.16218e+06,1581.44,8.24258e-08
2.343e+06,1.16254e+06,1579.91,8.23205e-08
2.344e+06,1.1629e+06,1578.4,8.22164e-08
2.345e+06,1.16326e+06,1576.91,8.21134e-08
2.346e+06,1.16362e+06,1575.43,8.20115e-08
2.347e+06,1.16397e+06,1573.97,8.19107e-08
2.348e+06,1.16432e+06,1572.53,8.1811e-08
2.349e+06,1.16466e+06,1571.1,8.17124e-08
2.35e+06,1.165e+06,1569.68,8.16148e-08
2.351e+06,1.16534e+06,1568.28,8.15183e-08
2.352e+06,1.16567e+06,1566.89,8.14228e-08
2.353e+06,1.16601e+06,1565.52,8.13283e-08
2.354e+06,1.16633e+06,1564.16,8.12348e-08
2.355e+06,1.16666e+06,1562.82,8.11424e-08
2.356e+06,1.16698e+06,1561.49,8.10509e-08
2.357e+06,1.1673e+06,1560.17,8.09604e-08
2.358e+06,1.16762e+06,1558.87,8.08709e-08
2.359e+06,1.16793e+06,1557.58,8.07823e-08
2.36e+06,1.16824e+06,1556.3,8.06947e-08
2.361e+06,1.16855e+06,1555.04,8.0608e-08
2.362e+06,1.16886e+06,1553.79,8.05222e-08
2.363e+06,1.16916e+06,1552.55,8.04374e-08
2.364e+06,1.16946e+06,1551.33,8.03534e-08
2.365e+06,1.16975e+06,1550.12,8.02704e-08
2.366e+06,1.17005e+06,1548.92,8.01882e-08
2.367e+06,1.17034e+06,1547.73,8.01069e-08
2.368e+06,1.17062e+06,1546.56,8.00265e-08
2.369e+06,1.17091e+06,1545.4,7.99469e-08
2.37e+06,1.17119e+06,1544.25,7.98681e-08
2.371e+06,1.17147e+06,1543.11,7.97902e-08
2.372e+06,1.17175e+06,1541.99,7.97132e-08
2.373e+06,1.17202e+06,1540.87,7.96369e-08
2.374e+06,1.1723e+06,1539.77,7.95614e-08
2.375e+06,1.17257e+06,1538.68,7.94868e-08
2.376e+06,1.17283e+06,1537.6,7.94129e-08
2.377e+06,1.1731e+06,1536.53,7.93398e-08
2.378e+06,1.17336e+06,1535.47,7.92675e-08
2.379e+06,1.17362e+06,1534.42,7.9196e-08
2.38e+06,1.17387e+06,1533.39,7.91252e-08
2.381e+06,1.17413e+06,1532.36,7.90551e-08
2.382e+06,1.17438e+06,1531.35,7.89858e-08
2.383e+06,1.17463e+06,1530.34,7.89172e-08
2.384e+06,1.17488e+06,1529.35,7.88493e-08
2.385e+06,1.17512e+06,1528.36,7.87822e-08
2.386e+06,1.17536e+06,1527.39,7.87158e-08
2.387e+06,1.1756e+06,1526.43,7.865e-08
2.388e+06,1.17584e+06,1525.47,7.8585e-08
2.389e+06,1.17608e+06,1524.53,7.85206e-08
2.39e+06,1.17631e+06,1523.59,7.84569e-08
2.391e+06,1.17654e+06,1522.67,7.83939e-08
2.392e+06,1.17677e+06,1521.75,7.83315e-08
2.393e+06,1.177e+06,1520.85,7.82698e-08
2.394e+06,1.17722e+06,1519.95,7.82087e-08
2.395e+06,1.17744e+06,1519.06,7.81483e-08
2.396e+06,1.17766e+06,1518.18,7.80885e-08
2.397e+06,1.17788e+06,1517.31,7.80294e-08
2.398e+06,1.1781e+06,1516.45,7.79708e-08
2.399e+06,1.17831e+06,1515.6,7.79129e-08
2.4e+06,1.17852e+06,1514.76,7.78555e-08
2.401e+06,1.17873e+06,1513.93,7.77988e-08
2.402e+06,1.17894e+06,1513.1,7.77427e-08
2.403e+06,1.17915e+06,1512.28,7.76871e-08
2.404e+06,1.17935e+06,1511.47,7.76321e-08
2.405e+06,1.17955e+06,1510.67,7.75777e-08
2.406e+06,1.17975e+06,1509.88,7.75239e-08
2.407e+06,1.17995e+06,1509.1,7.74706e-08
2.408e+06,1.18015e+06,1508.32,7.74179e-08
2.409e+06,1.18034e+06,1507.55,7.73657e-08
2.41e+06,1.18053e+06,1506.79,7.73141e-08
2.411e+06,1.18073e+06,1506.04,7.7263e-08
2.412e+06,1.18091e+06,1505.29,7.72125e-08
2.413e+06,1.1811e+06,1504.56,7.71624e-08
2.414e+06,1.18129e+06,1503.83,7.71129e-08
2.415e+06,1.18147e+06,1503.1,7.70639e-08
2.416e+06,1.18165e+06,1502.39,7.70154e-08
2.417e+06,1.18183e+06,1501.68,7.69674e-08
2.418e+06,1.18201e+06,1500.98,7.69199e-08
2.419e+06,1.18219e+06,1500.29,7.68729e-08
2.42e+06,1.18236e+06,1499.6,7.68264e-08
